sheet_row,target_server,x,y,type,owner,acquired_at,image,action,time_source
279,#476,699,299,漁場,R6q,2026/05/22 18:36,IMG_0579.PNG,occupy,visible_time
278,#476,799,199,漁場,R6q,2026/05/22 19:08,IMG_0580.PNG,occupy,visible_time
1601,#534,499,978,漁場,f4j,2026/05/22 20:46,IMG_0582.PNG,occupy,visible_time
963,#509,599,399,漁場,FHX,2026/05/22 21:12,IMG_0583.PNG,occupy,visible_time
1181,#511,699,599,漁場,sbM,2026/05/22 21:12,IMG_0583.PNG,occupy,visible_time
513,#480,449,49,交易地,GcC,2026/05/22 23:15,IMG_0587.PNG,steal,previous_image_visible_time
277,#476,249,949,交易地,476C,2026/05/22 23:15,IMG_0589.PNG,steal,previous_image_visible_time
1178,#511,49,649,交易地,one,2026/05/22 23:15,IMG_0590.PNG,steal,previous_image_visible_time
717,#503,49,49,交易地,Lghs,2026/05/22 23:15,IMG_0590.PNG,steal,previous_image_visible_time
1595,#534,649,49,交易地,JDX,2026/05/22 23:15,IMG_0591.PNG,steal,previous_image_visible_time
59,#440,149,949,交易地,476B,2026/05/22 23:15,IMG_0592.PNG,steal,previous_image_visible_time
1179,#511,49,849,交易地,476Z,2026/05/22 23:15,IMG_0593.PNG,steal,previous_image_visible_time
725,#503,49,949,交易地,UMN,2026/05/22 23:15,IMG_0594.PNG,steal,previous_image_visible_time
1175,#511,49,249,交易地,fIrE,2026/05/22 23:15,IMG_0594.PNG,steal,previous_image_visible_time
1599,#534,349,49,交易地,RCON,2026/05/22 23:15,IMG_0595.PNG,steal,previous_image_visible_time
961,#509,949,849,交易地,476A,2026/05/22 23:15,IMG_0596.PNG,steal,previous_image_visible_time
956,#509,949,49,交易地,476B,2026/05/22 23:15,IMG_0597.PNG,steal,previous_image_visible_time
962,#509,949,949,交易地,476B,2026/05/22 23:15,IMG_0599.PNG,steal,previous_image_visible_time
61,#440,349,949,交易地,476B,2026/05/22 23:15,IMG_0600.PNG,steal,previous_image_visible_time
276,#476,149,949,交易地,476C,2026/05/22 23:15,IMG_0601.PNG,steal,previous_image_visible_time
514,#480,949,49,交易地,KTVS,2026/05/22 23:15,IMG_0602.PNG,steal,previous_image_visible_time
1598,#534,949,49,交易地,476X,2026/05/22 23:15,IMG_0602.PNG,steal,previous_image_visible_time
1593,#534,449,49,交易地,SHA,2026/05/22 23:15,IMG_0603.PNG,steal,previous_image_visible_time
60,#440,249,949,交易地,476A,2026/05/22 23:15,IMG_0603.PNG,steal,previous_image_visible_time
960,#509,949,749,交易地,476B,2026/05/22 23:15,IMG_0603.PNG,steal,previous_image_visible_time
718,#503,49,149,交易地,GX99,2026/05/22 23:15,IMG_0604.PNG,steal,previous_image_visible_time
1373,#523,949,849,交易地,BAJ,2026/05/22 23:15,IMG_0605.PNG,steal,previous_image_visible_time
1180,#511,49,949,交易地,BgNa,2026/05/22 23:15,IMG_0605.PNG,steal,previous_image_visible_time
1374,#523,949,949,交易地,GcC,2026/05/22 23:15,IMG_0605.PNG,steal,previous_image_visible_time
511,#480,49,49,交易地,RCON,2026/05/22 23:20,IMG_0606.PNG,steal,visible_time
510,#480,649,49,交易地,BAJ,2026/05/22 23:26,IMG_0609.PNG,steal,previous_image_visible_time
271,#476,749,949,交易地,476d,2026/05/22 23:26,IMG_0610.PNG,steal,previous_image_visible_time
1172,#511,49,549,交易地,BgNa,2026/05/22 23:26,IMG_0611.PNG,steal,previous_image_visible_time
507,#480,749,49,交易地,476d,2026/05/22 23:32,IMG_0612.PNG,steal,previous_image_visible_time
1589,#534,249,49,交易地,KTVS,2026/05/22 23:39,IMG_0614.PNG,steal,previous_image_visible_time
953,#509,949,449,交易地,476B,2026/05/22 23:39,IMG_0615.PNG,steal,previous_image_visible_time
499,#480,749,449,都市,CDf8,2026/05/23 11:02,IMG_0645.PNG,first_occupy,visible_time
701,#503,549,349,都市,one,2026/05/23 20:59,IMG_0742.PNG,first_occupy,visible_time
700,#503,449,349,都市,Lghs,2026/05/23 21:05,IMG_0743.PNG,first_occupy,visible_time
699,#503,549,149,都市,one,2026/05/23 21:05,IMG_0743.PNG,first_occupy,visible_time
33,#440,199,699,漁場,aTA,2026/05/23 21:05,IMG_0743.PNG,occupy,visible_time
698,#503,349,449,都市,Lghs,2026/05/23 21:15,IMG_0744.PNG,first_occupy,previous_image_visible_time
924,#509,799,899,漁場,fzn,2026/05/23 23:07,IMG_0746.PNG,steal,visible_time
254,#476,549,649,都市,476A,2026/05/24 01:06,IMG_0862.PNG,first_occupy,visible_time
252,#476,149,549,都市,476H,2026/05/24 02:04,IMG_0865.PNG,first_occupy,previous_image_visible_time
250,#476,49,249,都市,476K,2026/05/24 03:32,IMG_0866.PNG,first_occupy,visible_time
26,#440,399,199,漁場,DOLU,2026/05/24 06:13,IMG_0870.PNG,occupy,visible_time
1576,#534,299,199,漁場,476C,2026/05/24 07:08,IMG_0872.PNG,steal,visible_time
696,#503,20,978,漁場,UMN,2026/05/24 07:16,IMG_0874.PNG,steal,visible_time
1574,#534,299,299,漁場,476B,2026/05/24 07:16,IMG_0874.PNG,steal,visible_time
695,#503,449,849,都市,xjR,2026/05/24 07:25,IMG_0876.PNG,first_occupy,previous_image_visible_time
25,#440,399,20,漁場,WoW3,2026/05/24 09:36,IMG_0879.PNG,first_occupy,visible_time
905,#509,499,299,漁場,476A,2026/05/24 11:08,IMG_0903.PNG,occupy,visible_time
1959,#8061,874,174,漁場,BgNa,2026/05/24 11:20,IMG_0905.PNG,occupy,visible_time
1958,#8061,874,224,漁場,PmP,2026/05/24 11:25,IMG_0906.PNG,occupy,visible_time
1956,#8061,924,174,漁場,PmP,2026/05/24 12:15,IMG_0908.PNG,occupy,visible_time
