server,alliance,directory_server,directory_match_type,suggested_affiliation,pact_status,confidence,reason,node_count,note
,WUG,,none,unknown,unknown,low,missing_from_pacts,20,
,GcC,,none,unknown,unknown,low,missing_from_pacts,19,
,one,,none,unknown,unknown,low,missing_from_pacts,19,
,EDFS,,none,unknown,unknown,low,missing_from_pacts,18,
,NBNH,,none,unknown,unknown,low,missing_from_pacts,18,
,TIKW,,none,unknown,unknown,low,missing_from_pacts,18,
,WbW,,none,unknown,unknown,low,missing_from_pacts,18,
,BHE,,none,unknown,unknown,low,missing_from_pacts,17,
,Bye,,none,unknown,unknown,low,missing_from_pacts,17,
,K4TR,,none,unknown,unknown,low,missing_from_pacts,17,
,RGWC,,none,unknown,unknown,low,missing_from_pacts,17,
,f4j,,none,unknown,unknown,low,missing_from_pacts,17,
,fIrE,,none,unknown,unknown,low,missing_from_pacts,17,
,TaW,,none,unknown,unknown,low,missing_from_pacts,16,
,ALj,,none,unknown,unknown,low,missing_from_pacts,15,
,Dao,,none,unknown,unknown,low,missing_from_pacts,15,
,JL2,,none,unknown,unknown,low,missing_from_pacts,15,
,MOn,,none,unknown,unknown,low,missing_from_pacts,15,
,CDf8,,none,unknown,unknown,low,missing_from_pacts,14,
,Stj,,none,unknown,unknown,low,missing_from_pacts,14,
,TrX,,none,unknown,unknown,low,missing_from_pacts,14,
,u3o,,none,unknown,unknown,low,missing_from_pacts,14,
,R6q,,none,unknown,unknown,low,missing_from_pacts,13,
,noI,,none,unknown,unknown,low,missing_from_pacts,13,
,PmP,,none,unknown,unknown,low,missing_from_pacts,12,
,UMN,,none,unknown,unknown,low,missing_from_pacts,12,
,xjR,,none,unknown,unknown,low,missing_from_pacts,12,
,DOLU,,none,unknown,unknown,low,missing_from_pacts,11,
,eXt,,none,unknown,unknown,low,missing_from_pacts,11,
,kOi,,none,unknown,unknown,low,missing_from_pacts,11,
,sbM,,none,unknown,unknown,low,missing_from_pacts,11,
,5DU,,none,unknown,unknown,low,missing_from_pacts,10,
,FarM,,none,unknown,unknown,low,missing_from_pacts,10,
,JL0,,none,unknown,unknown,low,missing_from_pacts,10,
,MtG,,none,unknown,unknown,low,missing_from_pacts,9,
,OWM,,none,unknown,unknown,low,missing_from_pacts,9,
,COZy,,none,unknown,unknown,low,missing_from_pacts,8,
,AoW,,none,unknown,unknown,low,missing_from_pacts,7,
,IMp,,none,unknown,unknown,low,missing_from_pacts,7,
,JLO,,none,unknown,unknown,low,missing_from_pacts,7,
,MOE,,none,unknown,unknown,low,missing_from_pacts,7,
,WoW3,,none,unknown,unknown,low,missing_from_pacts,7,
,Ryu1,,none,unknown,unknown,low,missing_from_pacts,6,
,SHA0,,none,unknown,unknown,low,missing_from_pacts,6,
,Skh,,none,unknown,unknown,low,missing_from_pacts,6,
,hMt,,none,unknown,unknown,low,missing_from_pacts,6,
,w6F,,none,unknown,unknown,low,missing_from_pacts,6,
,CROW,,none,unknown,unknown,low,missing_from_pacts,5,
,Kfk,,none,unknown,unknown,low,missing_from_pacts,5,
,RING,,none,unknown,unknown,low,missing_from_pacts,5,
,Trh,,none,unknown,unknown,low,missing_from_pacts,5,
,sg3,,none,unknown,unknown,low,missing_from_pacts,5,
,aTA,,none,unknown,unknown,low,missing_from_pacts,4,
,hOe,,none,unknown,unknown,low,missing_from_pacts,4,
,IMP,,none,unknown,unknown,low,missing_from_pacts,3,
,OTT,,none,unknown,unknown,low,missing_from_pacts,3,
,UrE,,none,unknown,unknown,low,missing_from_pacts,3,
,YDR,,none,unknown,unknown,low,missing_from_pacts,3,
299,299,,none,unknown,unknown,low,missing_from_pacts,2,
,ANH2,,none,unknown,unknown,low,missing_from_pacts,2,
,KOCH,,none,unknown,unknown,low,missing_from_pacts,2,
,OOEf,,none,unknown,unknown,low,missing_from_pacts,2,
,SVh,,none,unknown,unknown,low,missing_from_pacts,2,
,TRh,,none,unknown,unknown,low,missing_from_pacts,2,
,moca,,none,unknown,unknown,low,missing_from_pacts,2,
,nv8,,none,unknown,unknown,low,missing_from_pacts,2,
,59U,,none,unknown,unknown,low,missing_from_pacts,1,
,ALi,,none,unknown,unknown,low,missing_from_pacts,1,
,IXM,,none,unknown,unknown,low,missing_from_pacts,1,
,JlZ,,none,unknown,unknown,low,missing_from_pacts,1,
,SVo,,none,unknown,unknown,low,missing_from_pacts,1,
