enemy_from_node,enemy_from_coord,enemy_from_alliance,enemy_from_server,friendly_to_node,friendly_to_coord,friendly_to_alliance,friendly_to_server,edge_type,risk_reason,recommended_action,confidence
#476:d-12,d-12,476B,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium
#476:d-14,d-14,476B,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium
#480:d-14,d-14,BgNa,480,#480:D-15,D-15,SsQ,509,enemy_to_ally_adjacent,city +30; enemy_flag +40; frontline_core +30,防衛確認,medium
#480:d-14,d-14,BgNa,480,#480:E-15,E-15,SsQ,509,enemy_to_ally_adjacent,city +30; enemy_flag +40; frontline_core +30,防衛確認,medium
#476:d-10,d-10,476B,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#476:d-2,d-2,476K,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#476:d-6,d-6,476M,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#476:e-14,e-14,476d,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#476:e-18,e-18,476Z,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#480:e-18,e-18,AAOA,480,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#480:e-6,e-6,TkTk,480,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#480:e-8,e-8,BgNa,480,#480:E-7,E-7,BAJ,440,enemy_to_ally_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,隣接確認,medium
#480:e-8,e-8,BgNa,480,#480:F-7,F-7,GoDs,440,enemy_to_ally_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,隣接確認,medium
#480:e-8,e-8,BgNa,480,#480:F-9,F-9,BAJ,440,enemy_to_ally_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,隣接確認,medium
#503:d-10,d-10,Lghs,503,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#503:e-8,e-8,Lghs,503,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#534:d-10,d-10,SHA,503,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#534:d-4,d-4,nO9,476,#534:D-5,D-5,4tH,534,enemy_to_self_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,隣接確認,medium
#534:e-14,e-14,SHA,503,#534:F-15,F-15,JDX,534,enemy_to_self_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,隣接確認,medium
#534:e-4,e-4,nO9,476,,,,,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#534:e-6,e-6,SHA,503,#534:E-7,E-7,4tH,534,enemy_to_self_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,隣接確認,medium
#509:D-11,D-11,476A,476,#509:E-11,E-11,FHX,509,enemy_to_ally_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#509:D-11,D-11,476A,476,#509:c-12,c-12,VEX,509,enemy_to_ally_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#509:D-13,D-13,476A,476,#509:E-13,E-13,FHX,509,enemy_to_ally_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#509:D-13,D-13,476A,476,#509:c-12,c-12,VEX,509,enemy_to_ally_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#509:D-13,D-13,476A,476,#509:c-14,c-14,SsQ,509,enemy_to_ally_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#509:D-13,D-13,476A,476,#509:d-14,d-14,FHX,509,enemy_to_ally_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#534:D-11,D-11,476C,476,#534:c-12,c-12,JDX,534,enemy_to_self_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#534:D-13,D-13,476B,476,#534:C-13,C-13,JDX,534,enemy_to_self_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#534:D-13,D-13,476B,476,#534:c-12,c-12,JDX,534,enemy_to_self_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#534:D-13,D-13,476B,476,#534:c-14,c-14,JDX,534,enemy_to_self_adjacent,fishery +10; enemy_flag +40; frontline_core +30,防衛確認,medium
#534:E-11,E-11,SHA,503,,,,,edge_unknown,fishery +10; enemy_flag +40; frontline_core +30,地図確認,medium
#534:E-13,E-13,476C,476,,,,,edge_unknown,fishery +10; enemy_flag +40; frontline_core +30,地図確認,medium
#503:d-2,d-2,GX99,503,,,,,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#509:d-20,d-20,476A,476,,,,,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#509:e-20,e-20,476B,476,,,,,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#511:e-2,e-2,AAOA,480,,,,,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#523:d-20,d-20,476X,476,,,,,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#476:D-3,D-3,476K,476,,,,,edge_unknown,fishery +10; enemy_flag +40; frontline_adjacent +15,地図確認,medium
